Presenter,Type,Topic,Event,Year,Date,Link(s)
Karthik Gaekwad,ignite,DevOps and the CIA,Mountain View,2013,2013.06.21,
Peco Karayanev,ignite,From Monitoring With Love,Mountain View,2013,2013.06.21,
Nate Johnson,ignite,Strategies for Pushing Devops,Mountain View,2013,2013.06.21,
David Hatten,ignite,The Positive Powers of Negative Thinking,Mountain View,2013,2013.06.21,
Dave Mangot ,ignite,DevOps Do's and Dont's ,Mountain View,2013,2013.06.21,
Jayne Groll,ignite,The IT Culture Cocktail Party,Mountain View,2013,2013.06.21,
Jonathan Thorpe,ignite,8 mistakes that prevent DevOps success,Mountain View,2013,2013.06.21,
John Esser,ignite,DevOps Isn't Enough,Mountain View,2013,2013.06.21,
James Wickett,ignite,Before you trust your code make it run the Gauntlt,Mountain View,2013,2013.06.21,
 Philip Jacob,ignite,Systems theory for successful enjoyment of AWS,Mountain View,2013,2013.06.21,
Miel Donkers,Talk,Successful testing the continuous delivery process,Amsterdam,2013,2013.06.14,
Jasper Sonnevelt,Talk,"Kanban - Dealing with the elephant in the room, one chunk at a time.",Amsterdam,2013,2013.06.14,
Michael Ducy,Talk,DudeOps - Why The Big Lebowski is About your IT project,Amsterdam,2013,2013.06.14,
Sam Eaton,Talk,Trust in DevOps,Amsterdam,2013,2013.06.14,
Frank Breedijk,Talk,"Help, my Security Officer doesn’t trust me",Amsterdam,2013,2013.06.14,
Micha Hernandez van Leuffen,Talk,Moving beyond red and green; collaboration as the next big challenge in Agile,Amsterdam,2013,2013.06.14,
Jonathan Weiss,Talk,Continuous Deployment and Integration in the Cloud,Amsterdam,2013,2013.06.14,
Andrew Clay Shafer,Talk,There is no talent shortage ,Sydney,2013,2013.06.12,
Lindsay Holmwood,Talk,The DevOps Field Guide to Cognitive Biases,Sydney,2013,2013.06.12,
Dustin Whittle,Talk,The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder ,Sydney,2013,2013.06.12,
Matt Palmer,Talk,Service-Oriented Architectures: A DevOps Dream Come True,Sydney,2013,2013.06.12,
Sam Newman,Talk,Puppet On Windows & Linux In The Cloud - A Story Of Triumph Over Adversity ,Sydney,2013,2013.06.12,
Sebastian Cole,Talk,Puppet On Windows & Linux In The Cloud - A Story Of Triumph Over Adversity ,Sydney,2013,2013.06.12,
David Lutz,Talk,"Devops, Dungeons & Dragons",Sydney,2013,2013.06.12,
Marcel Wolf,Talk,DevOps 3.0 - Where we are now and what we found out on the way,Berlin,2013,2013.05.27,
Felix Sperling,Talk,DevOps 3.0 - Where we are now and what we found out on the way,Berlin,2013,2013.05.27,
Peter Neumark,Talk,How the QA team got Prezi ready for DevOps,Berlin,2013,2013.05.27,
Daniel Schauenberg,Talk,DevTools team at Etsy,Berlin,2013,2013.05.27,
 Tim Lossen,Talk,Podularity FTW,Berlin,2013,2013.05.27,
Sriram Narayan,Talk,Administer the devops pill across the enterprise,Berlin,2013,2013.05.27,
Wes Mason,Talk,Island Life: How we built and deployed the Honshū way ,Berlin,2013,2013.05.27,
 Gabor Veszi,Ignite,We love alerts at 2am ,Berlin,2013,2013.05.27,
 Christian Theune,Ignite,Operations as a Service ,Berlin,2013,2013.05.27,
 Michael Hüttermann,Ignite,Enterprise DevOps Applied ,Berlin,2013,2013.05.27,
 Leon Rosenberg,Ignite,DevOps@Runtime ,Berlin,2013,2013.05.27,
 Jesse Newland,Ignite,ChatOps in Practice: Integrating PagerDuty with Hubot ,Berlin,2013,2013.05.27,
 Matthew Jones,Ignite,Applied Devops ,Berlin,2013,2013.05.27,
 Alexander Schwartz,Ignite,"Help, we have no more time for testing! ",Berlin,2013,2013.05.27,
Florian Thiel,Ignite,Hiring for skill and culture - qualities beyond Dev and Ops,Berlin,2013,2013.05.27,
Pete Cheslock,Talk,"How to retain your hardest to hire positions (DevOps, System Automation, Release Engineering)",Austin,2013,2013.04.30,
Lee Thompson,Talk,"Its not me, its you - your dysfunctional relationship with script code",Austin,2013,2013.04.30,
Chris McClimans,Talk,Sharing a Culture of Automation - Instant Infrastructure in Developing Nations,Austin,2013,2013.04.30,
Dominica DeGrandis,Talk,Who is the Enemy - Us or Motionlessness?,Austin,2013,2013.04.30,
James Wickett,Ignite,Be mean to your code with Gauntlt,Austin,2013,2013.04.30,
Ernest Mueller,Ignite,Speeding Up Releases,Austin,2013,2013.04.30,
Nick Silkey,Ignite,Level Up: From Ops to Engineers,Austin,2013,2013.04.30,
Paul Voccio,Ignite,"Deploying 10,000 nodes simultaneously",Austin,2013,2013.04.30,
Ben Whaley,Ignite,Monitor the customer - Feed the business.,Austin,2013,2013.04.30,
Matthew Hooker,Ignite,ZooKeeper discovery with Exhibitor,Austin,2013,2013.04.30,
Cindy VanEpps,Ignite,The DevOps Dunking Booth: Continuous Consumption,Austin,2013,2013.04.30,
Gene Kim,Talk,How Do We Better Sell DevOps?,Austin,2013,2013.04.30,
Nick Galbreath,Talk,Care and Feeding of Large Scale Graphite Installations,Austin,2013,2013.04.30,
Jeff Hackert,Talk,Exploiting Conway's Law for Underpants and Profit,Austin,2013,2013.04.30,
Karthik Gaekwad,Ignite,SEXY Dashboards with Twitter Bootstrap,Austin,2013,2013.04.30,
Alex Corley,Ignite,"Chef Recipes, Gitflow, Developer/Staging/Production Environments and Chef Server",Austin,2013,2013.04.30,
Isaac Salpeter,Ignite,"Inside S3 Operations, or How (not) to Store Trillions of Objects",Austin,2013,2013.04.30,
Jesse Gonzalez,Ignite,NIH syndrome - Pitfall or Paradise,Austin,2013,2013.04.30,
Neil Matatall,Ignite,Dig up stupid,Austin,2013,2013.04.30,
Peco Karayanev,Ignite,"Why does monitoring suck? Because it is rooted in detecting failure, and not preventing it",Austin,2013,2013.04.30,
Victor Trac,Ignite,9 AWS Infrastructure Hacks You Should Do,Austin,2013,2013.04.30,
Niek Bartholomeus ,Talk,DevOps For Dinosaurs,London,2013,2013.04.15,
John Clapham,Talk,Checking DevOps’ vital signs,London,2013,2013.04.15,
Paul Swartout,Talk,Checking DevOps’ vital signs,London,2013,2013.04.15,
David Mytton,Talk,StartOps: Growing an ops team from 1 founder,London,2013,2013.04.15,
Deri Jones,Talk,Adding Business Metrics,London,2013,2013.04.15,
Gene Kim,Talk,Maximizing Flow,London,2013,2013.04.15,
Sam Eaton,Talk,DevOps in the Hell of a Thousand Different Platforms,London,2013,2013.04.15,
Thomas Falkenberg,Talk,DEVOPS and the traditional enterprise IT,London,2013,2013.04.15,
Alexis Le-Quoc,Talk,CustomerOps: a culture of visibility and metrics applied to customer ,Paris,2013,2013.03.18,
Kushal Pisavadia,Talk,How we release software for GOV.UK,Paris,2013,2013.03.18,
Florian Gilcher,Talk,How ops improved my dev ,Paris,2013,2013.03.18,
Pierre-Yves Ritschard,Talk,Le territoire et la carte: une histoire de visibilite,Paris,2013,2013.03.18,
Olivier Lefaucheux,Talk,The 10 major traps to avoid in order to succeed your DevOps transition by Alain Delafosse,Paris,2013,2013.03.18,
Eric Mattern,Talk,The 10 major traps to avoid in order to succeed your DevOps transition by Alain Delafosse,Paris,2013,2013.03.18,
Fabrice Bernhard,Talk,Transforming Devs into Devops,Paris,2013,2013.03.18,
Rémy-Christophe Schermesser,Talk,Product or Project,Paris,2013,2013.03.18,
John Willis,Talk,What is a Devops? ,New Zealand,2013,2013.03.08,
Rob England,Talk,Reconcile the world views of ITSM and DevOps ,New Zealand,2013,2013.03.08,
George Reese,Talk,DevOps in cloud management ,New Zealand,2013,2013.03.08,
Lidsay Holmwood,Talk,AA261 - DevOps lessons on collaborative maintenance ,New Zealand,2013,2013.03.08,
Mark Burgess,Talk,"DevOps - One small step for business-IT alignment, one giant leap for infrastructure culture",Rome,2012,2012.10.05,http://devopsdays.org/events/2012-italy/
Damon Edwards.,Talk,"You can't change culture, but you can influence behavior and behavior becomes culture",Rome,2012,2012.10.05,
Peter Halacsy,Talk,Failure is the new Success,Rome,2012,2012.10.05,
Bryan Berry,Talk,Monitoring data.fao.org,Rome,2012,2012.10.05,
Mantas Klasavicius,Talk,Metrics Driven Development,Rome,2012,2012.10.05,
Jason Dixon,Talk,"The State of Open Source Monitoring: The good, the bad, the fucking terrible, and a glimpse into our future",Rome,2012,2012.10.05,
Colin Humphreys,Talk,How I learned to Stop worrying and Love the PaaS,Rome,2012,2012.10.05,
Chris Hilton,Talk,Beyond Continuous Delivery,Rome,2012,2012.10.05,
Damon Edwards,Talk,DevOps Business Justification and Metrics ,Tokyo,2012,2012.10.05,
Yuuki Namikawa,Talk,How CyberAgent uses chef to bring Development closer to Operation,Tokyo,2012,2012.10.05,
Dan Choquette,Talk,Crowbar to standup OpenStack and Hadoop ,Tokyo,2012,2012.10.05,
George Moberly,Talk,Infrastructure as Code ,Tokyo,2012,2012.10.05,
Yoshi Nagase,Talk,Continuous Integration ,Tokyo,2012,2012.10.05,
Karanbir Singh,Talk,Keynote address ,Delhi,2012,2012.07.21,http://devopsdays.org/events/2012-india/
Root Linux,Talk,Queuing Madness by Sargurunath M from Deep ,Delhi,2012,2012.07.21,
Shekhar Gulati ,Talk,Getting started with OpenShift Platform as a Service,Delhi,2012,2012.07.21,
Ranjib Dey,Talk,Emergent Infrastructure - Beyond auto scaling,Delhi,2012,2012.07.21,
Sargurunath M,Talk,Queuing Madness,Delhi,2012,2012.07.21,
Ananth P,Talk,Systems modelling for DevOps consulting,Delhi,2012,2012.07.21,
Piyush Kumar,Talk,"Monitoring for Operational Excellence : Trends, Dashboards, Alerting , Reporting",Delhi,2012,2012.07.21,
Konark ,Talk,"Monitoring for Operational Excellence : Trends, Dashboards, Alerting , Reporting",Delhi,2012,2012.07.21,
Ravi Kumar,Talk,DevOps A Must! for Lean in Large IT Services Organization,Delhi,2012,2012.07.21,
Cliff Moon,Talk,The Audubon Society for Partial Failures,Mountain View,2012,2012.06.28,
David Mortman,Talk,Real Life Devops and Security,Mountain View,2012,2012.06.28,
John Esser,Talk,How Ancestry does Devopsa and enabled Continuous Delivery,Mountain View,2012,2012.06.28,
Mark Imbriaco ,Panel,Decentralizing Control: Safely & Sanely Making Developers and Operations happy.,Mountain View,2012,2012.06.28,
Noah Sussman,Talk,Continuous Improvement,Mountain View,2012,2012.06.28,
Christopher Webber,Talk,"Misadventures in Devops, Finding my way in IT",Mountain View,2012,2012.06.28,
Dan Nemec,Talk,Automating Application Configuration,Mountain View,2012,2012.06.28,
Brandon Burton,Talk,Improving Developer and Operations Productivity through Self Service @ Mozilla,Mountain View,2012,2012.06.28,
James Turnbull,Talk,Security Loves Devops,Austin,2012,2012.04.02,
Nick Galbreath,Talk,DevOpsSec - Applying Devops Principles to Application Security at Etsy ,Austin,2012,2012.04.02,
Michael Coté,Talk,How a BigCo actually got some innovation done,Austin,2012,2012.04.02,
Ryan Lowe,Talk,Continuous Database Integration - Making Your Data Agile ,Austin,2012,2012.04.02,
Richard Crowley,Talk,Continuous Database Integration - Making Your Data Agile ,Austin,2012,2012.04.02,
Prabhakar Gopalan,Ignite,Rescuing yourself from corporate insanity,Austin,2012,2012.04.02,
James Wickett,Ignite,Rugged DevOps--bridging security and devops communities and practices,Austin,2012,2012.04.02,
Karthik Gaekwad,Ignite,New Features deployed to production- in 30 days or less!,Austin,2012,2012.04.02,
Matt Ray,Ignite,"Spiceweasel, Your Infrastructure as Code Table of Contents",Austin,2012,2012.04.02,
Dave Zwieback,Ignite,"Empowering developers, nurturing generalists, and moving beyond DevOps at scale",Austin,2012,2012.04.02,
Tom Canova,Ignite, Just Enough/Just In Time Traceability,Austin,2012,2012.04.02,
Patricio Arvizu,Ignite,You don't need to pay for your Continuous Integration server.,Austin,2012,2012.04.02,
Mike DuVall,Ignite,Database Automation at D&B Austin,Austin,2012,2012.04.02,
Ernest Mueller,Talk,The story of DevOps at National Instruments,Austin,2012,2012.04.02,
James Wickett,Talk,The story of DevOps at National Instruments,Austin,2012,2012.04.02,
Karthik Gaekwad,Talk,The story of DevOps at National Instruments,Austin,2012,2012.04.02,
Ramon Van Alteren,Talk,Hiring and embedding new team members at Hyves,Goteborg,2011,2011.10.14,http://devopsdays.org/events/2011-goteborg/
Mitchell Hashimoto,Talk,DevOps is not an absolute. It's a range,Goteborg,2011,2011.10.14,
Julian Simpson,Talk,"Everything I learned about Continuous Integration , I learned from System Administration",Goteborg,2011,2011.10.14,
John Clapham,Talk,Dev+Ops+Org - How we are including (almost) everyone ,Goteborg,2011,2011.10.14,
Paul Swartout ,Talk,Dev+Ops+Org - How we are including (almost) everyone ,Goteborg,2011,2011.10.14,
Mattias Jansson,Talk,A case study in operations and development integration at Spotify,Goteborg,2011,2011.10.14,
Noa Resare,Talk,A case study in operations and development integration at Spotify,Goteborg,2011,2011.10.14,
John Vincent,Talk,Sometimes it *IS* about the tools - Solving cultural issues with software ,Goteborg,2011,2011.10.14,
Ramon Van Alteren,Talk,Hiring and embedding new team members at Hyves,Goteborg,2011,2011.10.14,
Mitchell Hashimoto,Talk,DevOps is not an absolute. It's a range,Goteborg,2011,2011.10.14,
Julian Simpson,Talk,"Everything I learned about Continuous Integration , I learned from System Administration",Goteborg,2011,2011.10.14,
John Clapham,Talk,Dev+Ops+Org - How we are including (almost) everyone ,Goteborg,2011,2011.10.14,
Paul Swartout ,Talk,Dev+Ops+Org - How we are including (almost) everyone ,Goteborg,2011,2011.10.14,
Mattias Jansson,Talk,A case study in operations and development integration at Spotify,Goteborg,2011,2011.10.14,
Noa Resare,Talk,A case study in operations and development integration at Spotify,Goteborg,2011,2011.10.14,
John Vincent,Talk,Sometimes it *IS* about the tools - Solving cultural issues with software ,Goteborg,2011,2011.10.14,
Nick Hines,Talk,Continuous Delivery ,Bangalore,2011,2011.08.27,http://devopsdays.org/events/2011-bangalore/
Vivek Singh,Talk,Designing continuous integration for scale,Bangalore,2011,2011.08.27,
Garrett Honeycutt,Talk,Introduction to configuration management with Puppet ,Bangalore,2011,2011.08.27,
Janmejay Singh,Talk,Test Load Balancer - rocket booster for your build,Bangalore,2011,2011.08.27,
Nikhil Mungel  ,Talk,Deployment Patterns in the Ruby on Rails world,Bangalore,2011,2011.08.27,
Ajey Gore,Talk,Deployment Patterns in the Ruby on Rails world,Bangalore,2011,2011.08.27,
Sreekanth Vadagiri,Talk,AWS NOSQL and rise of Devops,Bangalore,2011,2011.08.27,
Vijay Ramachandran,Talk,Oh No! The pager is going off again!!,Bangalore,2011,2011.08.27,
J Srinivas,Talk,“It is difficult to do TDD & CI” - Exploring the “Why” in a large company,Bangalore,2011,2011.08.27,
Chetana,Talk,“It is difficult to do TDD & CI” - Exploring the “Why” in a large company,Bangalore,2011,2011.08.27,
Sharath Kumar,Talk,Design implications on devops practices and Continuous delivery,Bangalore,2011,2011.08.27,
Aneesh P,Talk,Design implications on devops practices and Continuous delivery,Bangalore,2011,2011.08.27,
Sidney Dekker,Talk,"System Failure, Human Error: Who's",Melbourne,2011,2011.07.07,
Michael Ducy,Talk,Why You're Destroying DevOps,Melbourne,2011,2011.07.07,
Fabian Iannarella,Talk,Getting Devs to Own Their Ops,Melbourne,2011,2011.07.07,
Matt Callanan,Talk,DevOps @ Wotif: Making Easy = Right ,Melbourne,2011,2011.07.07,
Will Thames,Talk,Designing and Developing Software for Operations,Melbourne,2011,2011.07.07,
David Jorm,Talk,Managing security updates under the DevOps model ,Melbourne,2011,2011.07.07,
Sam Newman,Talk,Transforming ThoughtWorks' Internal Systems,Melbourne,2011,2011.07.07,
 Mujtaba Hussain,Talk,"Acquisition, ownership and migration of legacy applications",Melbourne,2011,2011.07.07,
Karl Chu,Talk,Getting Devs to Own Their Ops,Melbourne,2011,2011.07.07,
Alexandra Spillane,Talk,DevOps @ Wotif: Making Easy = Right ,Melbourne,2011,2011.07.07,
Jordan Sissel ,Panel,To Package or not to Package - Cutting Edge Software Distribution,Mountain View,2011,2011.06.17,
Joshua Timberman,Panel,To Package or not to Package - Cutting Edge Software Distribution,Mountain View,2011,2011.06.17,
Phil Hollenback,Panel,To Package or not to Package - Cutting Edge Software Distribution,Mountain View,2011,2011.06.17,
Noah Campbell,Panel,To Package or not to Package - Cutting Edge Software Distribution,Mountain View,2011,2011.06.17,
John Vincent,Panel,Orchestration at Scale - Command and Control Strategies,Mountain View,2011,2011.06.17,
Alex Honor,Panel,Orchestration at Scale - Command and Control Strategies,Mountain View,2011,2011.06.17,
Michael Hale,Panel,Orchestration at Scale - Command and Control Strategies,Mountain View,2011,2011.06.17,
Yan Pujante,Panel,Orchestration at Scale - Command and Control Strategies,Mountain View,2011,2011.06.17,
James Turnbull,Panel,Orchestration at Scale - Command and Control Strategies,Mountain View,2011,2011.06.17,
Alexis Lê-Quôc,Panel,DevOps Metrics and Measurement,Mountain View,2011,2011.06.17,
Patrick Debois,Panel,DevOps Metrics and Measurement,Mountain View,2011,2011.06.17,
Vladimir Vuksan,Panel,DevOps Metrics and Measurement,Mountain View,2011,2011.06.17,
Brian Doll,Panel,DevOps Metrics and Measurement,Mountain View,2011,2011.06.17,
Laurie Denness,Panel,DevOps Metrics and Measurement,Mountain View,2011,2011.06.17,
Andrew Shafer,Panel,DevOps Metrics and Measurement,Mountain View,2011,2011.06.17,
Kit Plummer,Panel,DevOps.. Where is the QA,Mountain View,2011,2011.06.17,
Pascal-Louis Perez,Panel,DevOps.. Where is the QA,Mountain View,2011,2011.06.17,
John Allspaw ,Panel,DevOps.. Where is the QA,Mountain View,2011,2011.06.17,
Greg Albrecht,Panel,DevOps.. Where is the QA,Mountain View,2011,2011.06.17,
Kwsik Guruswamy,Panel,DevOps.. Where is the QA,Mountain View,2011,2011.06.17,
Gene Kim,Panel,Escaping the DevOps Echo Chamber,Mountain View,2011,2011.06.17,
Ernest Mueller,Panel,Escaping the DevOps Echo Chamber,Mountain View,2011,2011.06.17,
Lee Thompson ,Panel,Escaping the DevOps Echo Chamber,Mountain View,2011,2011.06.17,
Tom Grant,Panel,Escaping the DevOps Echo Chamber,Mountain View,2011,2011.06.17,
John Christian,Panel,Escaping the DevOps Echo Chamber,Mountain View,2011,2011.06.17,
Jez Humble ,Panel,Escaping the DevOps Echo Chamber,Mountain View,2011,2011.06.17,
John Alioto,Panel,Escaping the DevOps Echo Chamber,Mountain View,2011,2011.06.17,
Jesse Robins,Talk,Devops culture hacks,Boston,2011,2011.03.07,http://devopsdays.org/events/2011-boston/
Peter Walsh,Talk,Devops in government,Boston,2011,2011.03.07,
Dave Connors,Talk,Cassandra and Puppet - Scaling data on 15USD per month,Boston,2011,2011.03.07,
Andrew Phillips ,Talk,Deployments is the new build,Boston,2011,2011.03.07,
Dominica DeGrandis,Talk,Getting to one button deploy using Kanban,Boston,2011,2011.03.07,
 Alexis Lê-Quôc,Ignite,Monitoring anti - patterns ,Boston,2011,2011.03.07,
 Adam Moskowitz,Ignite,Workplace Presentations 101 for IT Professionals ,Boston,2011,2011.03.07,
 Dan Rowe,Ignite,Red Dots Are Bad - Visual Alerting ,Boston,2011,2011.03.07,
 Damon Edwards,Ignite,Is DevOps About to Jump the Shark? ,Boston,2011,2011.03.07,
 Dave Connors,Ignite,Evolution of Agile Ops ,Boston,2011,2011.03.07,
 Peter Walsh,Ignite,Beyond Virtual Machines ,Boston,2011,2011.03.07,
John Willis,Talk,"Keynote: The Agile Enterprise, Devops and Clouds",Sao Paulo,2010,2010.12.04,
Carla Souza,Talk,Automagicaly manage your configuration,Sao Paulo,2010,2010.12.04,
Fabio Kung,Talk,Cloud e automação: tome o controle da sua infraestrutura!,Sao Paulo,2010,2010.12.04,
Guilherme Silveira,Talk,Deploy contínuo: pois integração contínua não basta,Sao Paulo,2010,2010.12.04,
Stephen Nelson-Smith,Talk,Devops for Business - Lessons Learned ,Hamburg,2010,2010.10.15,http://devopsdays.org/events/2010-europe/
Sam Newman,Talk,Squid Wrangling,Hamburg,2010,2010.10.15,
Chris Read,Talk,Squid Wrangling,Hamburg,2010,2010.10.15,
Spike Morelli,Talk,Runtime changes are the weeds killing your crops,Hamburg,2010,2010.10.15,
Jez Humble,Talk,Continuous Delivery,Hamburg,2010,2010.10.15,
David Anderson,Talk,Kanban Fish Bowl Session ,Hamburg,2010,2010.10.15,
Stefan Apitz ,Panel,Your mileage may vary,Mountain View,2010,2010.06.25,http://devopsdays.org/events/2010-us/
Ernest Muller ,Panel,Your mileage may vary,Mountain View,2010,2010.06.25,
Dan Nemec ,Panel,Your mileage may vary,Mountain View,2010,2010.06.25,
Burzin Engineer ,Panel,Your mileage may vary,Mountain View,2010,2010.06.25,
Kevin Rae ,Panel,Your mileage may vary,Mountain View,2010,2010.06.25,
 Andrew Shafer,Panel,Your mileage may vary,Mountain View,2010,2010.06.25,
Theo Schlossnagle ,Panel,Infrastructure as code,Mountain View,2010,2010.06.25,
Luke Kanies ,Panel,Infrastructure as code,Mountain View,2010,2010.06.25,
Adam Jacob ,Panel,Infrastructure as code,Mountain View,2010,2010.06.25,
Erik Troan ,Panel,Infrastructure as code,Mountain View,2010,2010.06.25,
 Patrick Debois,Panel,Infrastructure as code,Mountain View,2010,2010.06.25,
John Allspaw ,Panel,Changing culture to enable DevOps,Mountain View,2010,2010.06.25,
Lee Thompson ,Panel,Changing culture to enable DevOps,Mountain View,2010,2010.06.25,
Israel Gat,Panel,Changing culture to enable DevOps,Mountain View,2010,2010.06.25,
Lloyd Taylor,Panel,Changing culture to enable DevOps,Mountain View,2010,2010.06.25,
Andrew Shafer,Panel,Changing culture to enable DevOps,Mountain View,2010,2010.06.25,
James Urquhart ,Panel,Does the Cloud needs DevOps? Does DevOps need the Cloud?,Mountain View,2010,2010.06.25,
Adrian Cole,Panel,Does the Cloud needs DevOps? Does DevOps need the Cloud?,Mountain View,2010,2010.06.25,
Justin Dean,Panel,Does the Cloud needs DevOps? Does DevOps need the Cloud?,Mountain View,2010,2010.06.25,
Joe Arnold,Panel,Does the Cloud needs DevOps? Does DevOps need the Cloud?,Mountain View,2010,2010.06.25,
John Willis,Panel,Does the Cloud needs DevOps? Does DevOps need the Cloud?,Mountain View,2010,2010.06.25,
Jyoti Bansal ,Panel,"DevOps requires visibility: monitoring, testing, and performance",Mountain View,2010,2010.06.25,
Gareth Bowles,Panel,"DevOps requires visibility: monitoring, testing, and performance",Mountain View,2010,2010.06.25,
John Willis ,Panel,"DevOps requires visibility: monitoring, testing, and performance",Mountain View,2010,2010.06.25,
Eishay Smith ,Panel,"DevOps requires visibility: monitoring, testing, and performance",Mountain View,2010,2010.06.25,
Javier Soltero,Panel,"DevOps requires visibility: monitoring, testing, and performance",Mountain View,2010,2010.06.25,
Damon Edwards,Panel,"DevOps requires visibility: monitoring, testing, and performance",Mountain View,2010,2010.06.25,
Adam Fletcher,Panel,DevOps outside of Web Operations,Mountain View,2010,2010.06.25,
Gene Kim,Panel,DevOps outside of Web Operations,Mountain View,2010,2010.06.25,
Michael Stahnke,Panel,DevOps outside of Web Operations,Mountain View,2010,2010.06.25,
James Turnbull,Panel,DevOps outside of Web Operations,Mountain View,2010,2010.06.25,
Patrick Debois,Panel,DevOps outside of Web Operations,Mountain View,2010,2010.06.25,
Kurt Milne,Panel,Making the business case,Mountain View,2010,2010.06.25,
Jay Lyman,Panel,Making the business case,Mountain View,2010,2010.06.25,
Rolf Andrew Russell,Panel,Making the business case,Mountain View,2010,2010.06.25,https://speakerdeck.com/mirakui/being-healthy-dev-and-ops-in-cookpad
Jody Mulkey,Panel,Making the business case,Mountain View,2010,2010.06.25,
Damon Edwards,Panel,Making the business case,Mountain View,2010,2010.06.25,
Sidney Dekker,Talk,"System Failure, Human Error: Who's to Blame-KeyNote",Sydney,2010,2010.05.01,http://devopsdays.org/events/2010-sydney/
Michael Ducy,Talk,Why You're Destroying DevOps,Sydney,2010,2010.05.01,
Fabian Iannarella,Talk,Getting Devs to Own Their Ops,Sydney,2010,2010.05.01,
Karl Chu,Talk,Getting Devs to Own Their Ops,Sydney,2010,2010.05.01,
Alexandra Spillane,Talk,DevOps @ Wotif: Making Easy = Right ,Sydney,2010,2010.05.01,
Matt Callanan,Talk,DevOps @ Wotif: Making Easy = Right ,Sydney,2010,2010.05.01,
Will Thames,Talk,Designing and Developing Software for Operations,Sydney,2010,2010.05.01,
David Jorm,Talk,Managing security updates under the DevOps model ,Sydney,2010,2010.05.01,
Sam Newman,Talk,Transforming ThoughtWorks' Internal Systems,Sydney,2010,2010.05.01,
Mujtaba Hussain,Talk,"Acquisition, ownership and migration of legacy applications",Sydney,2010,2010.05.01,
Rachel Davies,Talk,Non-Functional Requirements: do user stories help?,Ghent,2009,2009.10.30,
Teyo Tyree,Talk,Building Agile Infrastructures with Puppet,Ghent,2009,2009.10.30,
Chris Read,Talk,"Continuous Integration, Pipelines and Deployment",Ghent,2009,2009.10.30,
Lindsay Holmwood,Talk,Cucumber-nagios,Ghent,2009,2009.10.30,
Lindsay Holmwood,Talk,Flapjack … rethinking monitoring for the cloud,Ghent,2009,2009.10.30,
Mattias Skarin,Talk,Introducing Kanban in operations,Ghent,2009,2009.10.30,
Matthias Rechenburg,Talk,A private openQRM Cloud use-case for a developer team … not only for sysadmins.,Ghent,2009,2009.10.30,
